T?nh,N?m,Dân s?,Dân s? nam,Dân s? n?,Dân s? thành th?,Dân s? nông thôn,S? l??ng trang tr?i,Di?n tích tr?ng lúa,S?n l??ng lúa,Di?n tích tr?ng ngô,S?n l??ng ngô,Di?n tích khoai lang,S?n l??ng khoai lang,S? l??ng trâu,S? l??ng bò,S? l??ng l?n,S? l??ng gia c?m,Di?n tích r?ng tr?ng m?i,S?n l??ng g? khai thác,Di?n tích nuôi tr?ng th?y s?n,S?n l??ng th?y s?n,S? l??t v?n chuy?n hành khách,S? l??t luân chuy?n hành khách,Kh?i l??ng hàng hóa v?n chuy?n,Kh?i l??ng hàng hóa luân chuy?n,S? tr??ng ti?u h?c,S? tr??ng thcs,S? tr??ng thpt,S? giáo viên ti?u h?c,S? giáo viên thcs,S? giáo viên thpt,S? h?c sinh ti?u h?c,S? h?c sinh thcs,S? h?c sinh thpt,S? b?nh vi?n,S? tr?m y t?,S? bác s?
V?nh Phúc,2001,1114100,543100,571000,121900,992200,124,70600,298200,14900,48400,8000,59800,32600,101500,432800,6871000,1400,21200,3900,6157,900000,85200000,2409000,117600000,187,151,32,4725,4773,1520,112442,101372,42300,9,152,347
B?c Ninh,2001,958900,465600,493300,106800,852100,33,84000,431200,2600,6900,2100,20300,12700,42000,417500,3406000,200,6900,2700,8493,2600000,102500000,6371400,196300000,149,130,29,4099,3602,1638,98905,88251,42740,11,126,462
Qu?ng Ninh,2001,1039300,530200,509100,484600,554700,863,48800,185900,4600,12800,6600,39100,61800,12500,305000,1815000,5300,16000,14200,31838,6300000,499100000,6007000,458300000,142,111,30,5113,4274,1382,109881,83636,36263,18,184,638
H?i D??ng,2001,1662700,802500,860200,230900,1431800,171,145000,796500,1900,7000,5400,50800,30100,40600,709400,7312000,100,1700,7300,14847,1400000,101000000,4812000,358600000,278,270,41,6243,6310,1969,145128,150681,60966,17,263,663
H?i Phòng,2001,1708600,845700,862900,618400,1090200,344,95400,487600,300,900,3500,32299,15400,10700,518200,4438000,700,21800,13600,47084,11800000,287400000,12833400,3397500000,217,189,49,6054,6816,3076,149377,141438,60396,22,218,1128
H?ng Yên,2001,1086000,524400,561600,107100,978900,59,89300,506900,4500,15800,1900,20900,5500,29800,432800,5790000,0,14100,3600,7784,1700000,49200000,4187000,133000000,166,167,26,4269,3926,1236,102308,101010,37790,13,161,395
Thái Bình,2001,1790300,855300,935000,103800,1686500,105,173300,993900,4400,18700,7400,75100,8000,40200,778300,6360000,800,8800,9600,44007,2100000,216900000,3277600,232400000,293,281,39,7309,7230,1874,148210,144653,56506,13,285,1020
Hà Nam,2001,793200,385000,408200,52200,741000,39,75600,396000,6100,19500,2800,22800,4200,26400,308200,3187000,300,9300,3700,6212,900000,58000000,1928700,103500000,139,120,22,2986,3217,916,76002,70518,24741,10,116,472
Nam ??nh,2001,1879700,914600,965100,248200,1631500,344,165300,970700,2800,9200,5700,41600,9700,27000,629100,5027000,300,9300,12300,46850,5000000,495100000,5013000,580000000,295,245,42,6632,7164,2248,184677,164098,60235,16,229,980
Ninh Bình,2001,888700,435000,453700,120800,767900,294,83200,440400,5100,15500,3900,25200,19100,30500,323500,2767000,200,7700,3900,8527,2000000,93600000,4516000,340400000,155,143,23,3773,3929,1076,90066,89235,33003,10,145,393
